Study,File,Variable,Variable Label,Type,N Non-missing,N Missing,Lowest Value,10% Value,20% Value,30% Value,40% Value,50% Value,60% Value,70% Value,80% Value,90% Value,Highest Value
EMD_NCT01016483_1_mek,TS,TSVAL1,Parameter Value (1),Char,5,67,documented by the Investigator (i.e. radiological progression per RECIST).,,,,dose of MSC1936369B for subjects in the monotherapy part.,,the Investigator (i.e. radiological progression per RECIST criteria).,,the monotherapy part.,,volume of peripheral compartment V2/f)
EMD_NCT01016483_1_mek,TS,TSVALNF,Parameter Null Flavor,Char,4,68,NA,,,,,NA,,,NA,,PINF
EMD_NCT01016483_1_mek,TS,TSVALCD,Parameter Value Code,Char,16,56,C15228,,C28253,C29848,C38288,C49487,C49488,C49648,C49663,C49667,C67402
EMD_NCT01016483_1_mek,TS,TSVCDREF,Name of the Reference Terminology,Char,19,53,CDISC,,CDISC,CDISC,CDISC,CDISC,CDISC,CDISC,CDISC,CDISC,ISO 8601
EMD_NCT01016483_1_mek,TS,TSVCDVER,Version of the Reference Terminology,Char,16,56,2012-12-21,,2012-12-21,2012-12-21,2012-12-21,2012-12-21,2012-12-21,2012-12-21,2012-12-21,2012-12-21,2012-12-21
EMD_NCT01016483_1_mek,TU,STUDYID,Study Identifier,Char,703,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,TU,DOMAIN,Domain Abbreviation,Char,703,0,TU,TU,TU,TU,TU,TU,TU,TU,TU,TU,TU
EMD_NCT01016483_1_mek,TU,USUBJID,Unique Subject Identifier,Char,703,0,1,5,10,16,21,26,32,37,39,42,44
EMD_NCT01016483_1_mek,TU,TUSEQ,Sequence Number,Num,703,0,1,2,4,6,7,10,12,16,20,26,37
EMD_NCT01016483_1_mek,TU,TUGRPID,Group ID,Char,703,0,CYCLE 1,CYCLE 1,CYCLE 1,CYCLE 3,CYCLE 3,CYCLE 7,FINAL ASSESSMENT,SCREENING,SCREENING,SCREENING,UNSCHEDULED 02
EMD_NCT01016483_1_mek,TU,TUSPID,Sponsor-Defined Identifier,Char,703,0,1,1,1,1,1,2,2,3,3,4,9
EMD_NCT01016483_1_mek,TU,TULNKID,Link ID,Char,703,0,NEW01,NT01,NT01,NT02,NT07,T01,T01,T02,T03,T03,T08
EMD_NCT01016483_1_mek,TU,TUTESTCD,Tumor Identification Short Name,Char,703,0,TUMIDENT,TUMIDENT,TUMIDENT,TUMIDENT,TUMIDENT,TUMIDENT,TUMIDENT,TUMIDENT,TUMIDENT,TUMIDENT,TUMIDENT
EMD_NCT01016483_1_mek,TU,TUTEST,Tumor Identification Test Name,Char,703,0,Tumor Identification,Tumor Identification,Tumor Identification,Tumor Identification,Tumor Identification,Tumor Identification,Tumor Identification,Tumor Identification,Tumor Identification,Tumor Identification,Tumor Identification
EMD_NCT01016483_1_mek,TU,TUORRES,Tumor Identification Result,Char,703,0,NEW,NON-TARGET,NON-TARGET,NON-TARGET,NON-TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
EMD_NCT01016483_1_mek,TU,TUSTRESC,Tumor Identification Result Std. Format,Char,703,0,NEW,NON-TARGET,NON-TARGET,NON-TARGET,NON-TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
EMD_NCT01016483_1_mek,TU,TURESCAT,Tumor Identification Result Category,Char,703,0,METASTASIS,METASTASIS,METASTASIS,METASTASIS,METASTASIS,METASTASIS,METASTASIS,METASTASIS,NODE,PRIMARY,PRIMARY
EMD_NCT01016483_1_mek,TU,TULOC,Location of the Tumor,Char,703,0,ADRENAL: LEFT,LIVER: LEFT LOBE,LIVER: NEXT TO VENA CAVA INFERIOR,LIVER: S6,LIVER: SEGMENT 1,LIVER: SEGMENT VI,LUNG: METASTASIS,OTHER: TUMORAL INFILTRATION OF SUPERIOR MESENTERIC VEINA,PANCREAS: BODY AND TAIL,PARA-AORTIC NODES,SUPERIOR MESENTERIC ARTERY NODE
EMD_NCT01016483_1_mek,TU,TUMETHOD,Method of Identification,Char,703,0,CT,MSCT,MSCT,SPIRAL CT,SPIRAL CT,SPIRAL CT,SPIRAL CT,SPIRAL CT,SPIRAL CT,SPIRAL CT,SPIRAL CT
EMD_NCT01016483_1_mek,TU,VISITNUM,Visit Number,Num,703,0,1,1,1,156,156,156,328,422.01,728,16777,99994
EMD_NCT01016483_1_mek,TU,VISIT,Visit Name,Char,703,0,CYCLE 1 DAY 56,CYCLE 1 DAY 56,CYCLE 1 DAY 56,CYCLE 3 DAY 28,CYCLE 3 DAY 28,CYCLE 5 DAY 28,END OF TREATMENT,SCREENING,SCREENING,SCREENING,STUDY TERMINATION UNSCHEDULED 1
EMD_NCT01016483_1_mek,TU,VISITDY,Planned Study Day of Visit,Num,631,72,-28,-28,-28,-28,56,56,112,112,168,280,2056
EMD_NCT01016483_1_mek,TU,ETCD,Element Code,Char,669,34,FU,PTP,SCRN,SCRN,SCRN,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA
EMD_NCT01016483_1_mek,TU,ELEMENT,Description of Element,Char,669,34,Follow-up Period,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Monotherapy Post Treatment Period,Post Treatment Period,Screening,Screening,Screening
EMD_NCT01016483_1_mek,TU,EPOCH,Epoch,Char,669,34,FOLLOW-UP,POST TREATMENT,SCREENING,SCREENING,SCREENING,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT
EMD_NCT01016483_1_mek,TU,TUDTC,Date/Time of Tumor Identification,Char,703,0,******,2013-05-17,2013-07-07,2013-07-28,2013-08-28,2013-09-20,2013-10-24,2013-12-09,2014-01-28,2014-04-06,2015-02-09
EMD_NCT01016483_1_mek,TU,TUDY,Study Day of Tumor Identification,Num,695,8,-27,-8,-5,8,50,54,105,114,170,268,611
EMD_NCT01016483_1_mek,TV,STUDYID,Study Identifier,Char,242,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,TV,DOMAIN,Domain Abbreviation,Char,242,0,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV
EMD_NCT01016483_1_mek,TV,VISITNUM,Visit Number,Num,242,0,1,150,408,701,922,1215,1508,1728,2015,20108,99995
EMD_NCT01016483_1_mek,TV,VISIT,Visit Name,Char,242,0,CYCLE 1 DAY 1,CYCLE 1 DAY 8,CYCLE 12 DAY 22,CYCLE 15 DAY 15,CYCLE 17 DAY 8,CYCLE 2 DAY 8,CYCLE 3 DAY 22,CYCLE 6 DAY 1,CYCLE 8 DAY 8,MONOTHERAPY CYCLE 2 DAY 22,TREATMENT TERMINATION
EMD_NCT01016483_1_mek,TV,VISITDY,Planned Study Day of Visit,Num,226,16,-28,47,113,183,253,330,393,463,533,610,2127
EMD_NCT01016483_1_mek,TV,ARMCD,Planned Arm Code,Char,242,0,A,A,A,A,A,A,B,B,B,B,B
EMD_NCT01016483_1_mek,TV,ARM,Description of Planned Arm,Char,242,0,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 2: Gemcitabine and Pimasertib,Arm 2: Gemcitabine and Pimasertib,Arm 2: Gemcitabine and Pimasertib,Arm 2: Gemcitabine and Pimasertib,Arm 2: Gemcitabine and Pimasertib
EMD_NCT01016483_1_mek,TV,TVSTRL,Visit Start Rule,Char,242,0,Day 1 of Monotherapy Treatment Epoch,Day 15 of Monotherapy Treatment Epoch,Day 211 of Treatment Epoch,Day 274 of Treatment Epoch,Day 336 of Treatment Epoch,Day 400 of Treatment Epoch,Day 47 of Treatment Epoch,Day 526 of Treatment Epoch,Day 582 of Treatment Epoch,Day 85 of Treatment Epoch,Within 30 +/- 3 days after end of Treatment Epoch
EMD_NCT01016483_1_mek,VS,STUDYID,Study Identifier,Char,9246,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,VS,DOMAIN,Domain Abbreviation,Char,9246,0,VS,VS,VS,VS,VS,VS,VS,VS,VS,VS,VS
EMD_NCT01016483_1_mek,VS,USUBJID,Unique Subject Identifier,Char,9246,0,1,5,8,13,18,22,27,33,37,41,44
EMD_NCT01016483_1_mek,VS,VSSEQ,Sequence Number,Num,9246,0,1,21,43,65,87,112,139,167,201,256,476
EMD_NCT01016483_1_mek,VS,VSTESTCD,Vital Signs Test Short Name,Char,9246,0,DIABP,DIABP,DIABP,PULSE,PULSE,PULSE,SYSBP,SYSBP,SYSBP,TEMP,WEIGHT
EMD_NCT01016483_1_mek,VS,VSTEST,Vital Signs Test Name,Char,9246,0,Diastolic Blood Pressure,Diastolic Blood Pressure,Diastolic Blood Pressure,Pulse Rate,Pulse Rate,Pulse Rate,Systolic Blood Pressure,Systolic Blood Pressure,Systolic Blood Pressure,Temperature,Weight
EMD_NCT01016483_1_mek,VS,VSPOS,Vital Signs Position of Subject,Char,7652,1594,SITTING,SITTING,SITTING,SITTING,SITTING,SITTING,SITTING,SITTING,SITTING,SITTING,SITTING
EMD_NCT01016483_1_mek,VS,VSORRES,Result or Finding in Original Units,Char,8778,468,100,120,131,36.1,56,65,70,74,79,83,99
EMD_NCT01016483_1_mek,VS,VSORRESU,Original Units,Char,8777,469,BEATS/MIN,BEATS/MIN,BEATS/MIN,C,kg,mmHg,mmHg,mmHg,mmHg,mmHg,mmHg
EMD_NCT01016483_1_mek,VS,VSSTRESC,Character Result/Finding in Std Format,Char,8778,468,100,120,131,36.1,56,65,70,74,79,83,99
EMD_NCT01016483_1_mek,VS,VSSTRESN,Numeric Result/Finding in Standard Units,Num,8778,468,34.6,54,64,70,74,78,82,95,120,130,207
EMD_NCT01016483_1_mek,VS,VSSTRESU,Standard Units,Char,8778,468,BEATS/MIN,BEATS/MIN,BEATS/MIN,C,kg,mmHg,mmHg,mmHg,mmHg,mmHg,mmHg
EMD_NCT01016483_1_mek,VS,VSSTAT,Completion Status,Char,468,8778,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE
EMD_NCT01016483_1_mek,VS,VSREASND,Reason Not Performed,Char,468,8778,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF
EMD_NCT01016483_1_mek,VS,VSBLFL,Baseline Flag,Char,265,8981,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EMD_NCT01016483_1_mek,VS,VISITNUM,Visit Number,Num,9246,0,1,101,102,108,122,129,136,147,415,2001,26877
EMD_NCT01016483_1_mek,VS,VISIT,Visit Name,Char,9246,0,CYCLE 1 DAY 1,CYCLE 1 DAY 1,CYCLE 1 DAY 15,CYCLE 1 DAY 22,CYCLE 1 DAY 29,CYCLE 1 DAY 36,CYCLE 1 DAY 47,CYCLE 11 DAY 1,CYCLE 4 DAY 15,MONOTHERAPY CYCLE 1 DAY 1,TREATMENT TERMINATION UNSCHEDULED 3
EMD_NCT01016483_1_mek,VS,VISITDY,Planned Study Day of Visit,Num,8943,303,-28,1,2,8,15,29,36,47,99,288,2085
EMD_NCT01016483_1_mek,VS,ETCD,Element Code,Char,8952,294,FU,SCRN,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,UNPLAN
EMD_NCT01016483_1_mek,VS,ELEMENT,Description of Element,Char,8944,302,Follow-up Period,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Pimasertib Monotherapy,Screening
EMD_NCT01016483_1_mek,VS,EPOCH,Epoch,Char,8952,294,FOLLOW-UP,SCREENING,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT
EMD_NCT01016483_1_mek,VS,VSDTC,Date/Time of Measurements,Char,9246,0,******,2013-04-19T13:18:00,2013-06-10T11:35:00,2013-07-09T17:10:00,2013-07-27T10:02:00,2013-08-19T08:30:00,2013-09-08T11:25:00,2013-10-08T16:00:00,2013-11-11T11:37:00,2014-01-27T08:00:00,2015-03-16
EMD_NCT01016483_1_mek,VS,VSDY,Study Day of Vital Signs,Num,8936,310,-29,1,2,8,16,29,36,47,99,198,646
EMD_NCT01016483_1_mek,VS,VSTPT,Planned Time Point Name,Char,6946,2300,1 HOUR POST DOSE,1 HOUR POST DOSE,2 HOURS POST DOSE,2 HOURS POST DOSE,3 HOURS POST DOSE,30 MINUTES POST DOSE,30 MINUTES POST DOSE,4 HOURS POST DOSE,5 HOURS POST DOSE,PRE-DOSE,PRE-DOSE
EMD_NCT01016483_1_mek,VS,VSTPTNUM,Planned Time Point Number,Num,6946,2300,0,0,30,30,100,200,200,300,300,400,600
EMD_NCT01016483_1_mek,VS,VSELTM,Planned Elapsed Time from Time Point Ref,Char,6946,2300,-PT5M,-PT5M,PT1H,PT1H,PT2H,PT30M,PT30M,PT3H,PT3H,PT4H,PT6H
EMD_NCT01016483_1_mek,VS,VSTPTREF,Time Point Reference,Char,6946,2300,AM DOSE OF PIMASERTIB,AM DOSE OF PLACEBO,AM DOSE OF PLACEBO,AM DOSE OF PLACEBO,AM DOSE OF PLACEBO,AM DOSE OF PLACEBO,AM DOSE OF PLACEBO,AM DOSE OF PLACEBO,AM DOSE OF PLACEBO,AM DOSE OF PLACEBO,AM DOSE OF PLACEBO
EMD_NCT01016483_1_mek,VS,VSRFTDTC,Date/Time of Reference Time Point,Char,9246,0,******,******,******,******,2013-04-26T10:05,2013-06-25T12:00,2013-07-20T08:00,2013-08-13T09:00,2013-09-07T10:00,2013-10-24T10:10,2014-08-19T15:38
EMD_NCT01016483_1_mek,XP,STUDYID,Study Identifier,Char,328,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,XP,DOMAIN,Domain Abbreviation,Char,328,0,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP
EMD_NCT01016483_1_mek,XP,USUBJID,Unique Subject Identifier,Char,328,0,1,5,7,11,18,21,26,33,37,41,44
EMD_NCT01016483_1_mek,XP,XPSEQ,Sequence Number,Num,328,0,1,1,2,3,4,5,6,7,9,12,25
EMD_NCT01016483_1_mek,XP,XPTESTCD,Performance Status Short Name,Char,328,0,ECOG,ECOG,ECOG,ECOG,ECOG,ECOG,ECOG,ECOG,ECOG,ECOG,ECOG
EMD_NCT01016483_1_mek,XP,XPTEST,Performance Status Name,Char,328,0,ECOG,ECOG,ECOG,ECOG,ECOG,ECOG,ECOG,ECOG,ECOG,ECOG,ECOG
EMD_NCT01016483_1_mek,XP,XPORRES,Result or Finding in Original Units,Char,0,328,,,,,,,,,,,
EMD_NCT01016483_1_mek,XP,XPSTRESC,Character Result/Finding in Std Format,Char,0,328,,,,,,,,,,,
EMD_NCT01016483_1_mek,XP,XPSTRESN,Numeric Result/Finding in Standard Units,Num,328,0,0,0,0,0,0,1,1,1,1,1,5
EMD_NCT01016483_1_mek,XP,XPBLFL,Baseline Flag,Char,43,285,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EMD_NCT01016483_1_mek,XP,VISITNUM,Visit Number,Num,328,0,1,1,101,129,201,301,601,1101,16777,20001,26877
EMD_NCT01016483_1_mek,XP,VISIT,Visit Name,Char,328,0,CYCLE 1 DAY 1,CYCLE 1 DAY 1,CYCLE 1 DAY 29,CYCLE 17 DAY 1,CYCLE 3 DAY 1,CYCLE 5 DAY 1,CYCLE 8 DAY 1,END OF TREATMENT,MONOTHERAPY SCREENING,SCREENING,TREATMENT TERMINATION UNSCHEDULED 3
EMD_NCT01016483_1_mek,XP,VISITDY,Planned Study Day of Visit,Num,277,51,-28,-28,1,1,29,57,113,169,253,2000,2085
EMD_NCT01016483_1_mek,XP,ETCD,Element Code,Char,323,5,FU,MSCRN,PTP,SCRN,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,UNPLAN
EMD_NCT01016483_1_mek,XP,ELEMENT,Description of Element,Char,322,6,Follow-up Period,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Pimasertib Monotherapy,Post Treatment Period,Screening,Screening
EMD_NCT01016483_1_mek,XP,EPOCH,Epoch,Char,323,5,FOLLOW-UP,MONOTHERAPY TREATMENT,POST TREATMENT,SCREENING,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT
EMD_NCT01016483_1_mek,XP,XPDTC,Date/Time of Performance Status,Char,328,0,******,2013-05-10,2013-06-29,2013-07-25,2013-08-27,2013-09-27,2013-10-28,2013-12-12,2014-02-11,2014-05-12,2015-03-16
EMD_NCT01016483_1_mek,XP,XPDY,Study Day of Performance Status,Num,321,7,-29,-6,1,29,57,77,113,141,199,281,646
EMD_NCT01016483_1_mek,XX,STUDYID,Study Identifier,Char,1486,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,XX,DOMAIN,Domain Abbreviation,Char,1486,0,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
EMD_NCT01016483_1_mek,XX,USUBJID,Unique Subject Identifier,Char,1486,0,1,5,7,11,17,21,26,33,37,41,44
EMD_NCT01016483_1_mek,XX,XXSEQ,Sequence Number,Num,1486,0,1,4,7,11,15,21,27,36,47,65,137
EMD_NCT01016483_1_mek,XX,XXREFID,Study Maintenance Reference ID,Char,1291,195,1,11,15,2,25,30,4,49,6,74,99
EMD_NCT01016483_1_mek,XX,XXTESTCD,Study Maintenance Short Name,Char,1486,0,BIOMARK,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,XRAY
EMD_NCT01016483_1_mek,XX,XXTEST,Study Maintenance Name,Char,1486,0,Candidate PGx Markers,Kit Number,Kit Number,Kit Number,Kit Number,Kit Number,Kit Number,Kit Number,Kit Number,Kit Number,Physical Examination
EMD_NCT01016483_1_mek,XX,XXCAT,Category for Study Maintenance,Char,1486,0,CHEST IMAGE,PHYSICAL EXAMINATION,TREATMENT PLACEBO KIT NUMBER,TREATMENT PLACEBO KIT NUMBER,TREATMENT PLACEBO KIT NUMBER,TREATMENT PLACEBO KIT NUMBER,TREATMENT PLACEBO KIT NUMBER,TREATMENT PLACEBO KIT NUMBER,TREATMENT PLACEBO KIT NUMBER,TREATMENT PLACEBO KIT NUMBER,TREATMENT PLACEBO KIT NUMBER
EMD_NCT01016483_1_mek,XX,XXORRES,Result or Finding in Original Units,Char,1291,195,10139,20394,20694,21012,21371,21680,23370,23711,24022,25420,73380
EMD_NCT01016483_1_mek,XX,XXSTRESC,Character Result/Finding in Std Format,Char,1291,195,10139,20394,20694,21012,21371,21680,23370,23711,24022,25420,73380
EMD_NCT01016483_1_mek,XX,XXSTAT,Completion Status,Char,109,1377,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE
EMD_NCT01016483_1_mek,XX,XXREASND,Reason Study Maintenance Not Performed,Char,109,1377,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF
EMD_NCT01016483_1_mek,XX,XXMETHOD,Method of Measurement,Char,21,1465,CHEST X-RAY,CHEST X-RAY,CHEST X-RAY,CHEST X-RAY,CHEST X-RAY,CHEST X-RAY,CHEST X-RAY,CHEST X-RAY,CHEST X-RAY,CHEST X-RAY,CHEST X-RAY
EMD_NCT01016483_1_mek,XX,VISITNUM,Visit Number,Num,195,1291,1,1,101,101,101,301,16777,16777,16777,16877,26877
EMD_NCT01016483_1_mek,XX,VISIT,Visit Name,Char,1486,0,CYCLE 1,CYCLE 1,CYCLE 1,CYCLE 1,CYCLE 13,CYCLE 2,CYCLE 3,CYCLE 5,CYCLE 7,END OF TREATMENT,SCREENING
EMD_NCT01016483_1_mek,XX,VISITDY,Planned Study Day of Visit,Num,103,1383,-28,-28,1,1,1,1,1,1,1,1,2113
EMD_NCT01016483_1_mek,XX,ETCD,Element Code,Char,119,1367,MONOTHER,PTP,SCRN,SCRN,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA
EMD_NCT01016483_1_mek,XX,ELEMENT,Description of Element,Char,119,1367,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Post Treatment Period,Post Treatment Period,Screening,Screening
EMD_NCT01016483_1_mek,XX,EPOCH,Epoch,Char,119,1367,MONOTHERAPY TREATMENT,POST TREATMENT,SCREENING,SCREENING,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT
EMD_NCT01016483_1_mek,XX,XXDTC,Date/Time of Study Maintenance,Char,1486,0,******,******,******,******,******,******,******,******,******,******,2015-02-16
EMD_NCT01016483_1_mek,XX,XXDY,Study Day of Study Maintenance,Num,119,1367,-27,-6,1,1,1,1,1,1,57,146,618
EMD_NCT01016483_1_mek,YF,STUDYID,Study Identifier,Char,151,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,YF,DOMAIN,Domain Abbreviation,Char,151,0,YF,YF,YF,YF,YF,YF,YF,YF,YF,YF,YF
EMD_NCT01016483_1_mek,YF,USUBJID,Unique Subject Identifier,Char,151,0,1,6,14,14,18,20,23,26,34,41,44
EMD_NCT01016483_1_mek,YF,YFSEQ,Sequence Number,Num,151,0,1,1,2,3,3,5,6,7,10,13,18
EMD_NCT01016483_1_mek,YF,YFSPID,Sponsor-Defined Identifier,Char,151,0,1,1,1,1,2,2,3,3,4,5,7
EMD_NCT01016483_1_mek,YF,YFTESTCD,Follow-up Result Short Name,Char,151,0,CONFPDC,CONFPDI,CONFPDI,PD,PD,PD,SURVSTAT,SURVSTAT,SURVSTAT,SURVSTAT,SURVSTAT
EMD_NCT01016483_1_mek,YF,YFTEST,Follow-up Result Name,Char,151,0,Disease Progression,Disease Progression,Disease Progression,Disease Progression,Is the Subject Still Alive?,Is the Subject Still Alive?,Is the Subject Still Alive?,Is the Subject Still Alive?,Is the Subject Still Alive?,Progression Confirmed by Imaging,Progression Confirmed by Imaging
EMD_NCT01016483_1_mek,YF,YFORRES,Result or Finding in Original Units,Char,151,0,N,N,U,Y,Y,Y,Y,Y,Y,Y,Y
EMD_NCT01016483_1_mek,YF,YFSTRESC,Character Result/Finding in Std Format,Char,151,0,N,N,U,Y,Y,Y,Y,Y,Y,Y,Y
EMD_NCT01016483_1_mek,YF,VISITNUM,Visit Number,Num,151,0,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995
EMD_NCT01016483_1_mek,YF,VISIT,Visit Name,Char,151,0,FOLLOW UP STATUS,FOLLOW UP STATUS,FOLLOW UP STATUS,FOLLOW UP STATUS,FOLLOW UP STATUS,FOLLOW UP STATUS,FOLLOW UP STATUS,FOLLOW UP STATUS,FOLLOW UP STATUS,FOLLOW UP STATUS,FOLLOW UP STATUS
EMD_NCT01016483_1_mek,YF,ETCD,Element Code,Char,140,11,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,PTP
EMD_NCT01016483_1_mek,YF,ELEMENT,Description of Element,Char,140,11,Follow-up Period,Follow-up Period,Follow-up Period,Follow-up Period,Follow-up Period,Follow-up Period,Follow-up Period,Follow-up Period,Follow-up Period,Follow-up Period,Post Treatment Period
EMD_NCT01016483_1_mek,YF,EPOCH,Epoch,Char,140,11,FOLLOW-UP,FOLLOW-UP,FOLLOW-UP,FOLLOW-UP,FOLLOW-UP,FOLLOW-UP,FOLLOW-UP,FOLLOW-UP,FOLLOW-UP,FOLLOW-UP,POST TREATMENT
EMD_NCT01016483_1_mek,YF,YFDTC,Date/Time of Follow-up Result,Char,151,0,******,2013-11-20,2013-12-21,2014-01-18,2014-01-31,2014-03-23,2014-05-11,2014-05-25,2014-07-13,2014-10-15,2015-03-04
EMD_NCT01016483_1_mek,YF,YFSTDTC,Start Date/Time of Follow-up Result,Char,151,0,******,******,******,******,******,2013-07-21,2013-12-27,2014-02-21,2014-04-18,2014-07-01,2015-03-04
EMD_NCT01016483_1_mek,YF,YFDY,Study Day of Follow-up Result,Num,149,2,97,147,189,204,246,308,364,393,437,498,549
EMD_NCT01016483_1_mek,YF,YFSTDY,Study Day of Start of Follow-up Result,Num,78,73,50,142,176,204,241,289,330,384,434,490,549
EMD_NCT01016483_1_mek,ZC,STUDYID,Study Identifier,Char,202,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,ZC,DOMAIN,Domain Abbreviation,Char,202,0,ZC,ZC,ZC,ZC,ZC,ZC,ZC,ZC,ZC,ZC,ZC
EMD_NCT01016483_1_mek,ZC,USUBJID,Unique Subject Identifier,Char,202,0,1,5,7,11,16,21,26,33,36,40,44
EMD_NCT01016483_1_mek,ZC,ZCSEQ,Sequence Number,Num,202,0,1,1,1,2,3,3,4,5,6,8,15
EMD_NCT01016483_1_mek,ZC,ZCTESTCD,Cardiac Assessment Short Name,Char,202,0,LVEF,LVEF,LVEF,LVEF,LVEF,LVEF,LVEF,LVEF,LVEF,LVEF,LVEF
EMD_NCT01016483_1_mek,ZC,ZCTEST,Cardiac Assessment Name,Char,202,0,Left Ventricular Ejection Fraction,Left Ventricular Ejection Fraction,Left Ventricular Ejection Fraction,Left Ventricular Ejection Fraction,Left Ventricular Ejection Fraction,Left Ventricular Ejection Fraction,Left Ventricular Ejection Fraction,Left Ventricular Ejection Fraction,Left Ventricular Ejection Fraction,Left Ventricular Ejection Fraction,Left Ventricular Ejection Fraction
EMD_NCT01016483_1_mek,ZC,ZCCAT,Category for Cardiac Assessment,Char,202,0,ECHOCARDIOGRAM,ECHOCARDIOGRAM,ECHOCARDIOGRAM,ECHOCARDIOGRAM,ECHOCARDIOGRAM,ECHOCARDIOGRAM,ECHOCARDIOGRAM,ECHOCARDIOGRAM,ECHOCARDIOGRAM,MUGA SCAN,MUGA SCAN
EMD_NCT01016483_1_mek,ZC,ZCORRES,Result or Finding in Original Units,Char,197,5,35,55,57,60,60,62,64,65,66,71,82
EMD_NCT01016483_1_mek,ZC,ZCORRESU,Original Units,Char,197,5,%,%,%,%,%,%,%,%,%,%,%
EMD_NCT01016483_1_mek,ZC,ZCSTRESC,Character Result/Finding in Std Format,Char,197,5,35,55,57,60,60,62,64,65,66,71,82
